"size_ml","category","n"
"Grande 473 ml","Coffee",134
"Grande 473 ml","Doubleshot",5
"Grande 473 ml","Flat White",5
"Grande 473 ml","Frappuccino",78
"Grande 473 ml","Hot Chocolate",21
"Grande 473 ml","Macchiato",10
"Grande 473 ml","Refreshing Drinks",21
"Grande 473 ml","Tea",60
"Tall 354 ml","Coffee",134
"Tall 354 ml","Doubleshot",5
"Tall 354 ml","Flat White",5
"Tall 354 ml","Frappuccino",78
"Tall 354 ml","Hot Chocolate",21
"Tall 354 ml","Macchiato",10
"Tall 354 ml","Refreshing Drinks",6
"Tall 354 ml","Tea",59
"Trenta 887 ml","Coffee",8
"Trenta 887 ml","Refreshing Drinks",3
"Trenta 887 ml","Tea",10
"Venti 591 ml","Coffee",66
"Venti 591 ml","Flat White",5
"Venti 591 ml","Hot Chocolate",21
"Venti 591 ml","Macchiato",10
"Venti 591 ml","Refreshing Drinks",2
"Venti 591 ml","Tea",31
"Venti 709 ml","Coffee",68
"Venti 709 ml","Doubleshot",5
"Venti 709 ml","Frappuccino",78
"Venti 709 ml","Refreshing Drinks",4
"Venti 709 ml","Tea",30
